DATE,other,AVG_CURRENT_PRICE,AVG_OLD_PRICE
2024-04-26,SALE,4.566,5.482
2024-04-27,SALE,4.566,5.482
2024-04-28,SALE,4.566,5.482
2024-04-29,SALE,4.566,5.482
2024-04-30,SALE,4.566,5.482
2024-05-01,SALE,4.566,5.482
2024-05-02,SALE,6.310689655172414,7.710689655172414
2024-05-03,SALE,6.310689655172414,7.648620689655172
2024-05-04,SALE,6.310689655172414,7.648620689655172
2024-05-05,SALE,6.310689655172414,7.648620689655172
2024-05-06,SALE,6.310689655172414,7.648620689655172
2024-05-07,SALE,6.310689655172414,7.648620689655172
2024-05-08,SALE,6.310689655172414,7.648620689655172
2024-05-09,SALE,5.642777777777778,6.923333333333334
2024-05-11,SALE,5.642777777777778,6.923333333333334
2024-05-12,SALE,5.642777777777778,6.923333333333334
2024-05-13,SALE,5.642777777777778,6.923333333333334
2024-05-17,SALE,5.506666666666667,6.773333333333333
2024-05-18,SALE,5.506666666666667,6.773333333333333
2024-05-19,SALE,5.506666666666667,6.773333333333333
2024-05-20,SALE,5.506666666666667,6.773333333333333
2024-05-21,SALE,5.506666666666667,6.773333333333333
2024-05-22,SALE,5.506666666666667,6.773333333333333
2024-05-23,SALE,5.513076923076923,6.843846153846154
2024-05-24,SALE,5.513076923076923,6.843846153846154
2024-05-25,SALE,5.513076923076923,6.843846153846154
2024-05-26,SALE,5.513076923076923,6.843846153846154
2024-05-27,SALE,5.513076923076923,6.843846153846154
2024-05-28,SALE,5.513076923076923,6.843846153846154
2024-05-29,SALE,5.513076923076923,6.843846153846154
2024-05-30,SALE,5.147096774193549,6.7706451612903225
2024-05-31,SALE,5.147096774193549,6.7706451612903225
2024-06-01,SALE,5.147096774193549,6.7706451612903225
2024-06-02,SALE,5.147096774193549,6.7706451612903225
2024-06-03,SALE,5.147096774193549,6.7706451612903225
2024-06-04,SALE,5.147096774193549,6.7706451612903225
2024-06-05,SALE,5.147096774193549,6.7706451612903225
2024-06-06,SALE,5.432105263157895,6.942631578947368
2024-06-07,SALE,5.432105263157895,6.942631578947368
2024-06-08,SALE,5.432105263157895,6.942631578947368
2024-06-09,SALE,5.432105263157895,6.942631578947368
2024-06-10,SALE,6.298556430446194,8.069107611548556
2024-06-11,SALE,5.408094223484849,6.75687559354226
2024-06-12,SALE,5.481398692810457,6.8649279161205765
2024-06-13,SALE,5.568056972789115,6.863312020460358
2024-06-14,SALE,5.5393288020390825,6.841811191798377
2024-06-15,SALE,5.537546610169492,6.83950575202386
2024-06-16,SALE,5.53283961066441,6.834591489361703
2024-06-17,SALE,5.522166525063722,6.823229389149936
2024-06-18,SALE,5.5342633361558,6.836355896126011
2024-06-19,SALE,5.5810358391608395,6.890610989010988
2024-06-20,SALE,5.502155963302752,6.7438726245505904
2024-06-21,SALE,5.503396130346232,6.742890825217837
2024-06-22,SALE,5.439592760180996,6.6623225287972145
2024-06-23,SALE,5.603496732026144,6.828346972176759
2024-06-24,SALE,5.5008790650406505,6.740403885480572
2024-06-25,SALE,5.5284537185660785,6.766838987614432
2024-06-26,SALE,5.514439370877728,6.756100051046452
2024-06-27,SALE,5.723546704599337,7.00245588936576
2024-06-28,SALE,5.734500000000001,7.019415708812261
2024-06-29,SALE,5.423834702258727,6.636224173553718
2024-06-30,SALE,5.729791666666666,7.011952380952381
2024-07-01,SALE,5.736433952787544,7.012525252525252
2024-07-02,SALE,5.733730196831493,7.021370656370657
2024-07-03,SALE,5.7960531496062995,7.091
2024-07-04,SALE,5.636427174975562,6.862645034414946
2024-07-05,SALE,5.696803534303534,6.900910041841005
2024-07-06,SALE,5.6861197007481294,6.9350878073256395
2024-07-07,SALE,5.6875,6.92259765625
2024-07-08,SALE,5.693264907135875,6.930884955752212
2024-07-09,SALE,5.738851107676456,6.979447599380485
2024-07-10,SALE,5.683208919049927,6.918015602145295
2024-07-11,SALE,5.858167388167389,7.120440251572328
2024-07-12,SALE,5.85596751075012,7.116368876080692
2024-07-13,SALE,5.942581120943953,7.220894710825507
2024-07-14,SALE,5.828870029097963,7.082300194931774
2024-07-15,SALE,5.85217619047619,7.112392344497607
2024-07-16,SALE,5.5672401614530775,6.786144089294774
2024-07-17,SALE,5.844966856060606,7.104747859181732
2024-07-18,SALE,5.559343434343434,6.799299492385787
2024-07-19,SALE,5.677928741092637,6.93855369928401
2024-07-20,SALE,5.679706021811285,6.940795616960457
2024-07-21,SALE,5.681335650446872,6.942654690618762
2024-07-22,SALE,5.482507571168989,6.772898903775883
2024-07-24,SALE,5.750421875,7.050167539267015
2024-07-25,SALE,5.627663407102419,6.81674430641822
2024-07-26,SALE,5.642465960665659,6.8369421906693715
2024-07-27,SALE,5.669812182741117,6.844604389994895
2024-07-28,SALE,5.9298062953995165,7.184009750152347
2024-07-29,SALE,5.658103616813294,6.843253071253072
2024-07-30,SALE,5.730505876341339,6.9098312883435575
2024-07-31,SALE,5.655657894736842,6.839284664380205
2024-08-01,SALE,5.7345725451880805,6.950034398034398
2024-08-02,SALE,5.705033621517772,6.924693384838243
2024-08-03,SALE,5.939040805511393,7.162985153764581
2024-08-04,SALE,5.701184272856467,6.913928571428571
2024-08-05,SALE,5.677545281220209,6.879669223394055
2024-08-06,SALE,5.737859209257473,6.960358700920988
2024-08-07,SALE,5.75544450025113,6.983055555555556
2024-08-08,SALE,5.520762536261914,6.847370385732061
2024-08-09,SALE,5.534528458662235,6.862750311591192
2024-08-10,SALE,5.521908141962422,6.845327766179541
2024-08-11,SALE,5.535693521594685,6.864505813953488
